[38.8873, -77.03606]
[38.88743, -77.03656]
[38.88764, -77.03744]
[38.88774, -77.03768]
[38.88784, -77.0382]
[38.88796, -77.03874]
[38.88812, -77.03902]
[38.88836, -77.03924]
[38.8886, -77.03937]
[38.88895, -77.03948]
[38.89541, -77.03947]
[38.89835, -77.03948]
[38.9001, -77.03947]
[38.90022, -77.03946]
[38.90021, -77.03705]
